"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 23:01:35","USR:ORM.BUILDSDL","LLOCKE",798
"26/10/2016 23:02:13","USR:ORM.BUILDSDL","LLOCKE",798
"26/10/2016 23:02:19","USR:ORM.SIGNORDERS-INVOKEDISCERN","LLOCKE",826
"26/10/2016 23:02:37","CAP:MPG LAUNCH MPAGE","LLOCKE",691
"26/10/2016 23:02:38","USR:MPG.IMMUNIZATIONS.O2 - LOAD COMPONENT","LLOCKE",775
"26/10/2016 23:02:39","USR:MPG.DOCUMENTATION_PE.O1 - LOAD COMPONENT","LLOCKE",770
"26/10/2016 23:03:16","USR:MPG.AMB_ORG_LOAD - BUILD COLUMNS(MY_DAY)","VPONNEQUIN",1323
"26/10/2016 23:04:41","USR:PWR-SWITCHFRAME","VPONNEQUIN",1398
"26/10/2016 23:04:44","USR:MPG.AMB_ORG_LOAD - BUILD COLUMNS(MY_DAY)","VPONNEQUIN",1323
"26/10/2016 23:04:56","USR:POWERPLANS.LOAD PLAN DATA","VPONNEQUIN",1386
"26/10/2016 23:05:07","USR:PWR-SWITCHFRAME","VPONNEQUIN",1398
"26/10/2016 23:05:20","CKPT:WINDOWSSESSIONMONITOR-ALERT","LLOCKE",721
"26/10/2016 23:05:47","USR:PWR-SWITCHFRAME","VPONNEQUIN",1398
"26/10/2016 23:05:53","USR:MPG.ORDERS.O2 - LOAD COMPONENT","VPONNEQUIN",1344
"26/10/2016 23:16:17","USR:MPG.AMB_ORG_LOAD - BUILD COLUMNS(MY_DAY)","BMOORE005",260
"26/10/2016 23:56:00","USR:MPG.AMB_ORG_LOAD - BUILD COLUMNS(MY_DAY)","AFRENCH",72
"26/10/2016 23:56:15","USR:PWR-FRAMEWORK CHART OPEN POST-CREATE","AFRENCH",171
"26/10/2016 23:56:20","USR:MPG.BBPRODUCTS.O1 - LOAD COMPONENT","AFRENCH",77
"26/10/2016 23:56:28","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","AFRENCH",89
"26/10/2016 18:38:52","USR:MPG.VIEWPOINT LOAD SWITCH VIEW","LLOCKE",791
"26/10/2016 18:38:57","USR:PWR.PVINBOX.OPEN CONFIGURATION","VPONNEQUIN",1411
"26/10/2016 18:39:23","USR:PWR-SWITCHFRAME","DCHHAGANLAL",506
"26/10/2016 18:39:23","USR: START CHART","DCHHAGANLAL",411
"26/10/2016 18:39:24","CAP:MPG LAUNCH MPAGE","DCHHAGANLAL",366
"26/10/2016 18:39:26","USR:ORM.LOADORDERPROFILE","LLOCKE",814
"26/10/2016 18:40:09","USR:MPG.ORDERS.O2 - LOAD COMPONENT","LLOCKE",785
"26/10/2016 18:41:41","CAP:MPG DETAILED REVIEW SUBSECTION - CLICK NAVIGATOR LINK","VPONNEQUIN",1266
"26/10/2016 18:41:44","USR:MPG.ORDERSELECTION.O2 - LOAD COMPONENT","VPONNEQUIN",1345
"26/10/2016 18:43:27","CAP:MPG NEW ORDER ENTRY O1 ADD TO SCRATCHPAD FROM SEARCH","VPONNEQUIN",1270
"26/10/2016 18:43:33","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","KMEYER008",604
"26/10/2016 18:44:19","USR:PWR-SWITCHFRAME","KMEYER008",667
"26/10/2016 18:44:46","CAP:MPG:ORDERSELECTION.O2_CELL_CLICK","KMEYER008",539
"26/10/2016 18:44:53","USR:ORM.GETTHERAPEUTICSUBSTITUTIONS","VPONNEQUIN",1362
"26/10/2016 18:45:18","CAP:MPG SCRATCHPAD SIGN ORDERS","KMEYER008",534
"26/10/2016 18:45:19","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","KMEYER008",547
"26/10/2016 18:45:19","USR:ORM.SIGNORDERS-NONMEDDUPCHECKDLGONCREATE","KMEYER008",647
"26/10/2016 18:45:20","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","KMEYER008",604
"26/10/2016 18:45:20","USR:ORM.DISPLAYIMPORTEXTERNALRXSPREAD","DCHHAGANLAL",463
"26/10/2016 18:45:46","USR:ORM.SIGNORDERS-NONMEDDUPCHECK","VPONNEQUIN",1381
"26/10/2016 18:45:47","USR:MPG.ORDERS.O1 - LOAD COMPONENT","VPONNEQUIN",1343
"26/10/2016 18:45:48","USR:MPG.HOME_MEDS.O2 - LOAD COMPONENT","VPONNEQUIN",1336
"26/10/2016 18:46:16","USR:ORM.DISPLAYORDERCATALOGSEARCH","DCHHAGANLAL",465
"26/10/2016 18:46:35","USR:POWERPLANS.LOAD PROBLEM AND DIAGNOSIS PLANS","DCHHAGANLAL",495
"26/10/2016 18:46:44","USR:PWR-SWITCHFRAME","DCHHAGANLAL",506
